Continent,Trade flow,Commodity,year,Quantity
Americas,Export,Fish,2008,3264786
Americas,Import,Crustaceans,2008,857657
Americas,Import,Fish,2008,2563220
Asia,Export,Crustaceans,2008,1591215
Asia,Export,Fish,2008,7077433
Asia,Import,Crustaceans,2008,812756
Asia,Import,Fish,2008,7544221
Europe,Export,Crustaceans,2008,550929
Europe,Export,Fish,2008,9024126
Europe,Import,Crustaceans,2008,1112518
Europe,Import,Fish,2008,8764528
Oceania,Export,Crustaceans,2008,21573
Oceania,Export,Fish,2008,408614
Oceania,Import,Crustaceans,2008,34272
Oceania,Import,Fish,2008,217424
Africa,Export,Crustaceans,2009,75560
Africa,Export,Fish,2009,1224784
Africa,Import,Crustaceans,2009,50375
Africa,Import,Fish,2009,3012232
Americas,Export,Crustaceans,2009,707388
Americas,Export,Fish,2009,3126754
Americas,Import,Crustaceans,2009,852492
Americas,Import,Fish,2009,2634734
Asia,Export,Crustaceans,2009,1559874
Asia,Export,Fish,2009,7145260
Asia,Import,Crustaceans,2009,821211
Asia,Import,Fish,2009,7679926
Europe,Export,Crustaceans,2009,544946
Europe,Export,Fish,2009,9442684
Europe,Import,Crustaceans,2009,1094048
Europe,Import,Fish,2009,8667512
Oceania,Export,Crustaceans,2009,18643
Oceania,Export,Fish,2009,435120
Oceania,Import,Crustaceans,2009,38402
Oceania,Import,Fish,2009,205071
Africa,Export,Crustaceans,2010,73186
Africa,Export,Fish,2010,1239640
Africa,Import,Crustaceans,2010,77818
Africa,Import,Fish,2010,3198208
Americas,Export,Crustaceans,2010,730913
Americas,Export,Fish,2010,2947212
Americas,Import,Crustaceans,2010,875856
Americas,Import,Fish,2010,2802276
Asia,Export,Crustaceans,2010,2041209
Asia,Export,Fish,2010,8138702
Asia,Import,Crustaceans,2010,865214
Asia,Import,Fish,2010,8297589
Europe,Export,Crustaceans,2010,559338
Europe,Export,Fish,2010,10242860
Europe,Import,Crustaceans,2010,1147938
Europe,Import,Fish,2010,8771774
Oceania,Export,Crustaceans,2010,19730
Oceania,Export,Fish,2010,504361
Oceania,Import,Crustaceans,2010,42913
Oceania,Import,Fish,2010,239555
Africa,Export,Crustaceans,2011,62562
Africa,Export,Fish,2011,1364885
Africa,Import,Crustaceans,2011,73331
Africa,Import,Fish,2011,3693338
Americas,Export,Crustaceans,2011,791080
Americas,Export,Fish,2011,3439020
Americas,Import,Crustaceans,2011,879772
Americas,Import,Fish,2011,2897447
Asia,Export,Crustaceans,2011,2060194
Asia,Export,Fish,2011,8441633
Asia,Import,Crustaceans,2011,915036
Asia,Import,Fish,2011,8585508
Europe,Export,Crustaceans,2011,546226
Europe,Export,Fish,2011,9964381
Europe,Import,Crustaceans,2011,1133735
Europe,Import,Fish,2011,8724176
Oceania,Export,Crustaceans,2011,17777
Oceania,Export,Fish,2011,492609
Oceania,Import,Crustaceans,2011,42557
Oceania,Import,Fish,2011,264043
Africa,Export,Crustaceans,2012,57014
Africa,Export,Fish,2012,1504439
Africa,Import,Crustaceans,2012,68551
Africa,Import,Fish,2012,3236469
Americas,Export,Crustaceans,2012,857431
Americas,Export,Fish,2012,3322828
Americas,Import,Crustaceans,2012,857096
Americas,Import,Fish,2012,2905321
Asia,Export,Crustaceans,2012,1732782
Asia,Export,Fish,2012,8739384
Asia,Import,Crustaceans,2012,955237
Asia,Import,Fish,2012,8455904
Europe,Export,Crustaceans,2012,503053
Europe,Export,Fish,2012,10484714
Europe,Import,Crustaceans,2012,1051903
Europe,Import,Fish,2012,8993783
Oceania,Export,Crustaceans,2012,17052
Oceania,Export,Fish,2012,519291
Oceania,Import,Crustaceans,2012,48566
Oceania,Import,Fish,2012,286718
Africa,Export,Crustaceans,2013,66577
Africa,Export,Fish,2013,1559803
Africa,Import,Crustaceans,2013,64119
Africa,Import,Fish,2013,3188107
Americas,Export,Crustaceans,2013,890400
Americas,Export,Fish,2013,3466202
Americas,Import,Crustaceans,2013,852522
Americas,Import,Fish,2013,3016425
Asia,Export,Crustaceans,2013,1720395
Asia,Export,Fish,2013,8876912
Asia,Import,Crustaceans,2013,928271
Asia,Import,Fish,2013,8511288
Europe,Export,Crustaceans,2013,494860
Europe,Export,Fish,2013,10728558
Europe,Import,Crustaceans,2013,1028230
Europe,Import,Fish,2013,9126505
Oceania,Export,Crustaceans,2013,19243
Oceania,Export,Fish,2013,523559
Oceania,Import,Crustaceans,2013,45805
