Continente,Localidae,Fluxo Comercial,Mercadoria,Medida,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Guinea,Export,Fish,Quantidade,2142,3161,4001,4953,7840,17009,14334,7923,7964,6445,7472,7629,9024,9527,10607,11268
Africa,Guinea,Import,Crustaceans,Quantidade,0,3,0,0,0,0,0,0,0,3,1,5,21,26,7,4
Africa,Guinea,Import,Fish,Quantidade,898,1187,830,1213,634,979,428,772,738,1402,1471,1494,1854,1849,3400,2332
Africa,Guinea-Bissau,Export,Crustaceans,Quantidade,77,159,141,203,107,152,61,0,0,0,0,0,0,0,0,0
Africa,Guinea-Bissau,Export,Fish,Quantidade,1698,2301,3817,1628,3855,4021,5373,4976,3377,3771,5666,4401,3716,4579,5280,5500
Africa,Guinea-Bissau,Import,Crustaceans,Quantidade,0,0,0,0,0,0,20,55,0,0,0,0,0,0,0,0
Africa,Guinea-Bissau,Import,Fish,Quantidade,147,167,199,276,338,366,331,644,913,771,305,444,415,562,442,582
Africa,Kenya,Export,Crustaceans,Quantidade,412,570,329,534,584,530,536,325,373,131,323,170,113,211,449,227
Africa,Kenya,Export,Fish,Quantidade,16242,17785,23643,18414,16688,17190,14098,15699,19719,14431,16757,14359,16478,10986,14167,9991
Africa,Kenya,Import,Crustaceans,Quantidade,4,4,19,26,31,15,6,1,0,102,11,22,86,104,126,115
Africa,Kenya,Import,Fish,Quantidade,11273,17077,8980,7301,13572,21026,27112,23918,17696,11432,14399,16010,17044,14640,22997,22284
Africa,Lesotho,Export,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Africa,Lesotho,Export,Fish,Quantidade,0,0,7,4,3,0,0,0,25,183,413,388,136,194,528,627
Africa,Lesotho,Import,Crustaceans,Quantidade,8,14,4,7,0,0,0,0,5,13,49,34,12,5,10,2
Africa,Lesotho,Import,Fish,Quantidade,991,1231,2290,1668,1013,744,721,745,846,1121,1020,2200,1575,1493,3213,3183
Africa,Liberia,Export,Crustaceans,Quantidade,0,18,0,28,42,3,7,2,0,0,0,0,11,0,0,0
Africa,Liberia,Export,Fish,Quantidade,32,47,151,55,9,75,229,125,65,91,96,91,96,98,102,101
Africa,Liberia,Import,Crustaceans,Quantidade,24,1,18,1,5,20,13,18,17,19,10,5,6,8,43,30
Africa,Liberia,Import,Fish,Quantidade,3746,1903,1132,2623,1163,1412,2275,1130,4044,3320,6076,6861,7079,11491,14366,12557
Africa,Libya,Export,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0
Africa,Libya,Export,Fish,Quantidade,1868,1375,1695,2216,3120,3836,2000,1137,959,579,616,363,980,1024,921,1060
Africa,Libya,Import,Crustaceans,Quantidade,6,11,21,38,73,22,3,6,0,140,307,136,110,306,265,164
Africa,Libya,Import,Fish,Quantidade,4442,4587,4119,4346,4617,9197,13575,17058,16768,27554,43098,39003,54926,56063,50870,40764
Africa,Madagascar,Export,Crustaceans,Quantidade,2156,12538,15282,6358,7333,11941,12013,13443,11473,9479,7715,10642,7372,8207,10452,7117
Africa,Madagascar,Export,Fish,Quantidade,10621,16809,15581,23645,19252,10154,17804,13193,8267,6688,11201,12047,8154,8297,10982,11197
Africa,Madagascar,Import,Crustaceans,Quantidade,9,38,1,1,1,881,138,223,104,3,18,216,51,23,1,23
Africa,Madagascar,Import,Fish,Quantidade,13521,12637,17641,22733,16160,14728,29963,22379,14409,14752,18038,20289,14374,16816,20220,14949
Africa,Malawi,Export,Fish,Quantidade,42,34,26,43,42,128,585,32,34,15,21,67,49,23,14,12
Africa,Malawi,Import,Crustaceans,Quantidade,0,3,2,1,0,0,0,0,0,0,3,1,7,9,23,39
Africa,Malawi,Import,Fish,Quantidade,1485,345,244,583,703,426,1740,1734,3224,2103,1916,1316,1180,1669,2498,2628
Africa,Mali,Export,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Africa,Mali,Export,Fish,Quantidade,761,950,1136,425,456,371,337,634,496,301,278,879,174,259,695,186
Africa,Mali,Import,Crustaceans,Quantidade,41,37,19,60,34,38,37,7,45,77,97,16,200,97,191,613
Africa,Mali,Import,Fish,Quantidade,2696,2923,2704,5500,6989,11014,12912,14606,15378,16246,23196,21902,20556,22137,32470,32461
Africa,Mauritania,Export,Crustaceans,Quantidade,781,1657,1286,1417,1041,1212,1201,1154,788,350,2955,4062,2226,1065,3163,2151
Africa,Mauritania,Export,Fish,Quantidade,66340,65376,79185,73287,53860,80540,72419,89426,119491,55580,99624,209019,288267,180262,219231,253061
Africa,Mauritania,Import,Crustaceans,Quantidade,0,0,0,0,0,0,11,0,3,0,0,3,0,37,100,51
Africa,Mauritania,Import,Fish,Quantidade,120,173,414,457,78,543,296,569,681,1433,2332,1921,2915,3104,4320,3770
Africa,Mauritius,Export,Crustaceans,Quantidade,0,0,0,210,1,0,8,5,0,0,0,0,0,1,0,0
Africa,Mauritius,Export,Fish,Quantidade,18152,27380,28940,32021,33266,36763,50027,49809,49060,50567,61195,54867,59053,59219,70009,63348
Africa,Mauritius,Import,Crustaceans,Quantidade,1243,1440,1190,1465,1450,1487,1341,1570,1593,1449,1483,1788,1766,1720,1714,1663
Africa,Mauritius,Import,Fish,Quantidade,39835,49428,81312,61120,78317,101705,148735,126327,147537,142573,139934,158800,146731,166243,178953,175715
Africa,Mayotte,Export,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Africa,Mayotte,Export,Fish,Quantidade,4,28,127,201,125,124,122,122,95,83,80,85,76,63,50,0
Africa,Mayotte,Import,Crustaceans,Quantidade,9,23,18,30,21,46,29,42,45,56,22,4,5,2,0,0
Africa,Mayotte,Import,Fish,Quantidade,591,797,1063,1088,956,1151,1227,1040,1656,1308,1209,1419,1208,1238,1229,1031
Africa,Morocco,Export,Crustaceans,Quantidade,12959,11420,10959,9639,7147,9279,9756,15876,14079,14547,14156,17398,16393,15965,17430,18930
Africa,Morocco,Export,Fish,Quantidade,129286,163860,193397,191453,174105,197415,270967,256940,286893,288770,279834,213072,278013,313393,311004,357348
Africa,Morocco,Import,Crustaceans,Quantidade,8351,5997,7079,8180,7358,8011,10641,22408,20240,19095,28881,35012,32824,32892,35972,39262
Africa,Morocco,Import,Fish,Quantidade,3939,5407,9888,11782,23499,22460,30808,23077,44698,24806,19397,19397,11958,15680,29638,30499
Africa,Mozambique,Export,Crustaceans,Quantidade,7265,6450,8835,6444,6205,7361,14617,10034,10041,8520,8315,4745,2510,4421,5889,3578
Africa,Mozambique,Export,Fish,Quantidade,3244,1946,2532,4265,6648,6669,1814,2249,1212,1033,1197,2825,4249,4816,8366,7831
Africa,Mozambique,Import,Crustaceans,Quantidade,80,1,1,1808,7,2,11,33,2,2,1,5,9,29,27,21
Africa,Mozambique,Import,Fish,Quantidade,5820,4274,6242,9220,12969,18721,16638,14411,19118,18394,16723,27350,26978,44928,50035,52352
Africa,Namibia,Export,Crustaceans,Quantidade,1346,1545,1389,1389,1645,1546,1306,1195,1503,2234,2126,2119,1802,1334,2476,2337
Africa,Namibia,Export,Fish,Quantidade,384992,311379,312572,308263,291353,253834,396990,323827,319026,337595,306847,348288,334441,386157,386445,416349
Africa,Namibia,Import,Crustaceans,Quantidade,47,43,65,42,64,187,378,452,428,1335,317,496,254,305,298,257
Africa,Namibia,Import,Fish,Quantidade,89079,33530,12854,15532,18025,14445,13937,19393,20543,31389,20641,13710,13175,14816,16119,20015
Africa,Niger,Export,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Africa,Niger,Export,Fish,Quantidade,1618,6676,8025,5905,3684,2260,681,287,449,405,556,815,831,1228,1367,658
Africa,Niger,Import,Crustaceans,Quantidade,2,1,0,5,0,1,0,1,1,2,5,3,2,2,3,20
Africa,Niger,Import,Fish,Quantidade,895,676,586,514,564,1244,2237,1542,2664,3409,3657,2856,3894,4814,5813,7462
Africa,Nigeria,Export,Crustaceans,Quantidade,2195,2340,2496,2114,3631,6902,15730,19956,10853,24690,23725,9399,9044,18350,11708,8576
Africa,Nigeria,Export,Fish,Quantidade,224,628,597,246,605,754,813,1169,688,204,300,22415,9270,63571,4040,3053
Africa,Nigeria,Import,Crustaceans,Quantidade,12,0,18,3,14,1,22,24,0,81,90,1671,385,1511,220,811
Africa,Nigeria,Import,Fish,Quantidade,311871,633387,543822,622965,778731,841741,1247871,999824,1042398,1108631,1330691,1589401,1083208,868036,992591,886643
Africa,Rwanda,Export,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0
Africa,Rwanda,Export,Fish,Quantidade,0,0,0,0,0,38,0,92,310,555,253,120,317,173,1208,2098
Africa,Rwanda,Import,Crustaceans,Quantidade,5,0,1,3,0,0,0,0,1,3,3,2,3,2,5,2
Africa,Rwanda,Import,Fish,Quantidade,130,102,197,109,7,58,1342,2718,3599,4875,6897,11915,13300,12119,15205,23616
Africa,Saint Helena,Export,Crustaceans,Quantidade,145,192,196,97,144,160,150,131,171,264,339,186,249,300,244,281
Africa,Saint Helena,Export,Fish,Quantidade,160,355,309,229,336,572,478,596,790,510,372,694,387,419,428,624
Africa,Saint Helena,Import,Crustaceans,Quantidade,0,4,0,25,4,0,21,0,0,0,0,0,0,0,7,1
Africa,Saint Helena,Import,Fish,Quantidade,57,55,46,31,19,101,166,57,16,8,22,12,6,26,29,43
Africa,Sao Tome and Principe,Export,Crustaceans,Quantidade,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Sao Tome and Principe,Export,Fish,Quantidade,53,300,82,0,0,0,0,0,0,0,1,0,0,0,2,2
Africa,Sao Tome and Principe,Import,Crustaceans,Quantidade,0,0,0,0,0,1,2,1,8,4,4,4,8,8,6,7
Africa,Sao Tome and Principe,Import,Fish,Quantidade,19,0,3,7,5,3,29,19,33,27,28,51,43,45,44,28
Africa,Senegal,Export,Crustaceans,Quantidade,6909,7687,5970,5480,10684,9790,8695,7809,4741,4284,3551,4309,5284,4789,4249,4378
Africa,Senegal,Export,Fish,Quantidade,66526,63266,60109,68138,95012,74208,65782,87440,73125,78367,78034,92458,90520,124112,134315,173157
Africa,Senegal,Import,Crustaceans,Quantidade,66,49,120,24,35,69,21,6,14,80,74,77,104,146,19,65
Africa,Senegal,Import,Fish,Quantidade,606,392,158,265,447,438,375,880,1120,304,6354,14087,8437,8545,9470,19121
Africa,Seychelles,Export,Crustaceans,Quantidade,331,316,213,901,1111,786,619,364,331,23,1,0,0,0,0,8
Africa,Seychelles,Export,Fish,Quantidade,42096,62891,65520,128334,102306,114356,99635,94997,72241,72560,82478,105684,107426,97456,77485,106393
Africa,Seychelles,Import,Crustaceans,Quantidade,39,16,12,44,47,40,54,130,273,51,511,895,677,374,623,805
Africa,Seychelles,Import,Fish,Quantidade,19003,18770,32020,85882,81573,87331,91984,115920,35709,64103,70006,69927,62961,60914,67178,67708
Africa,Sierra Leone,Export,Crustaceans,Quantidade,1082,1154,2515,3299,2429,2536,1916,1721,1615,1591,1675,1583,1752,1550,1230,1200
Africa,Sierra Leone,Export,Fish,Quantidade,5496,5031,5080,3008,3080,3404,3552,3853,3768,3944,3942,4079,4310,3848,4209,4787
Africa,Sierra Leone,Import,Crustaceans,Quantidade,14,83,29,29,11,1,3,0,1,0,0,1,7,1,81,25
Africa,Sierra Leone,Import,Fish,Quantidade,726,955,645,1679,1249,1162,918,1754,1525,2038,972,1365,1072,1370,1622,915
Africa,Somalia,Export,Crustaceans,Quantidade,18,2,19,0,9,69,15,0,231,0,5,77,34,17,3,26
Africa,Somalia,Export,Fish,Quantidade,1101,1642,2867,1378,2243,2692,2010,2217,3152,4147,1133,1396,936,1235,1462,2106
Africa,Somalia,Import,Crustaceans,Quantidade,0,0,0,0,0,0,18,0,0,1,1,0,8,0,1,4
Africa,Somalia,Import,Fish,Quantidade,71,15,111,142,225,283,1117,684,907,1426,899,1365,1141,2004,2415,3734
Africa,South Africa,Export,Crustaceans,Quantidade,2271,2155,2611,2359,3351,4397,4204,2857,2412,3327,2690,2542,2930,3210,3306,2505
Africa,South Africa,Export,Fish,Quantidade,127000,136172,130521,118739,106464,123422,98084,94365,93436,111280,105576,108188,101227,105545,114387,92914
Africa,South Africa,Import,Crustaceans,Quantidade,2870,2990,2987,3157,5568,7941,8685,9534,8236,9472,7764,11215,10692,11391,10024,8025
Africa,South Africa,Import,Fish,Quantidade,16798,22255,21619,27254,35379,33663,38357,56368,70673,87184,75783,68809,111814,115984,166483,139926
Africa,South Sudan,Export,Fish,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Africa,South Sudan,Import,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Africa,South Sudan,Import,Fish,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,144,289,252,179
Africa,Sudan,Export,Fish,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,155,193,654,1120
Africa,Sudan,Import,Crustaceans,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,23,76,11,0
Africa,Sudan,Import,Fish,Quantidade,0,0,0,0,0,0,0,0,0,0,0,0,2802,2856,2097,3033
Africa,Sudan (former),Export,Crustaceans,Quantidade,0,0,1,1,2,0,0,0,5,2,0,2,0,0,0,0
Africa,Sudan (former),Export,Fish,Quantidade,99,132,1159,1595,2556,2345,59,74,563,591,19,230,0,0,0,0
Africa,Sudan (former),Import,Crustaceans,Quantidade,0,0,0,0,0,1,19,3,40,76,129,67,0,0,0,0
Africa,Sudan (former),Import,Fish,Quantidade,240,169,446,266,46,125,1906,1676,1327,2324,2367,3257,0,0,0,0
Africa,Swaziland,Export,Crustaceans,Quantidade,453,400,438,512,919,536,36,0,0,0,0,0,1,0,0,0
Africa,Swaziland,Export,Fish,Quantidade,1110,724,731,492,908,457,96,69,59,24,20,20,2,0,1,1
Africa,Swaziland,Import,Crustaceans,Quantidade,558,306,415,624,712,375,236,90,62,0,1,31,17,29,26,24
Africa,Swaziland,Import,Fish,Quantidade,5169,3390,3040,4812,5887,3812,2287,1909,1169,1139,1114,1118,1106,1695,3026,2941
Africa,"Tanzania, United Rep. of",Export,Crustaceans,Quantidade,1767,2067,2432,2874,2787,4004,1261,943,569,494,639,442,2454,888,673,1366
Africa,"Tanzania, United Rep. of",Export,Fish,Quantidade,40529,41531,38546,44173,49217,42896,37216,47677,54467,39465,39611,39704,42004,33687,38342,33119
Africa,"Tanzania, United Rep. of",Import,Crustaceans,Quantidade,21,54,5,8,16,44,11,31,4,4,3,7,4,7,3,6
Africa,"Tanzania, United Rep. of",Import,Fish,Quantidade,297,221,150,291,370,450,2919,6822,6817,6243,5913,3883,6367,9267,19486,19605
