Continent,Land Area,Trade flow,Commodity,year,Quantity
Americas,Netherlands Antilles,Import,Crustaceans,2000,247
Americas,Netherlands Antilles,Import,Fish,2000,2089
Americas,Nicaragua,Export,Crustaceans,2000,9400
Americas,Nicaragua,Export,Fish,2000,2617
Americas,Nicaragua,Import,Crustaceans,2000,608
Americas,Nicaragua,Import,Fish,2000,3065
Americas,Panama,Export,Crustaceans,2000,7927
Americas,Panama,Export,Fish,2000,52553
Americas,Panama,Import,Crustaceans,2000,78
Americas,Panama,Import,Fish,2000,7527
Americas,Paraguay,Export,Fish,2000,26
Americas,Paraguay,Import,Crustaceans,2000,29
Americas,Paraguay,Import,Fish,2000,653
Americas,Peru,Export,Crustaceans,2000,1133
Americas,Peru,Export,Fish,2000,77333
Americas,Peru,Import,Crustaceans,2000,5
Americas,Peru,Import,Fish,2000,26785
Americas,Saint Kitts and Nevis,Export,Crustaceans,2000,71
Americas,Saint Kitts and Nevis,Export,Fish,2000,2
Americas,Saint Kitts and Nevis,Import,Crustaceans,2000,22
Americas,Saint Kitts and Nevis,Import,Fish,2000,790
Americas,Saint Lucia,Export,Crustaceans,2000,0
Americas,Saint Lucia,Export,Fish,2000,0
Americas,Saint Lucia,Import,Crustaceans,2000,62
Americas,Saint Lucia,Import,Fish,2000,1108
Americas,Saint Vincent/Grenadines,Export,Crustaceans,2000,47
Americas,Saint Vincent/Grenadines,Export,Fish,2000,199
Americas,Saint Vincent/Grenadines,Import,Crustaceans,2000,13
Americas,Saint Vincent/Grenadines,Import,Fish,2000,402
Americas,St. Pierre and Miquelon,Export,Crustaceans,2000,18
Americas,St. Pierre and Miquelon,Export,Fish,2000,1754
Americas,St. Pierre and Miquelon,Import,Crustaceans,2000,2
Americas,St. Pierre and Miquelon,Import,Fish,2000,37
Americas,Suriname,Export,Crustaceans,2000,7630
Americas,Suriname,Export,Fish,2000,8595
Americas,Suriname,Import,Crustaceans,2000,196
Americas,Suriname,Import,Fish,2000,1683
Americas,Trinidad and Tobago,Export,Crustaceans,2000,155
Americas,Trinidad and Tobago,Export,Fish,2000,4204
Americas,Trinidad and Tobago,Import,Crustaceans,2000,40
Americas,Trinidad and Tobago,Import,Fish,2000,3438
Americas,Turks and Caicos Is.,Export,Crustaceans,2000,100
Americas,Turks and Caicos Is.,Export,Fish,2000,0
Americas,Turks and Caicos Is.,Import,Crustaceans,2000,85
Americas,Turks and Caicos Is.,Import,Fish,2000,195
Americas,United States of America,Export,Crustaceans,2000,67079
Americas,United States of America,Export,Fish,2000,783804
Americas,United States of America,Import,Crustaceans,2000,476320
Americas,United States of America,Import,Fish,2000,1074345
Americas,Uruguay,Export,Crustaceans,2000,2078
Americas,Uruguay,Export,Fish,2000,64391
Americas,Uruguay,Import,Crustaceans,2000,117
Americas,Uruguay,Import,Fish,2000,6810
Americas,"Venezuela, Boliv Rep of",Export,Crustaceans,2000,19088
Americas,"Venezuela, Boliv Rep of",Export,Fish,2000,23958
Americas,"Venezuela, Boliv Rep of",Import,Crustaceans,2000,363
Americas,"Venezuela, Boliv Rep of",Import,Fish,2000,20525
Americas,Antigua and Barbuda,Export,Crustaceans,2001,9
Americas,Antigua and Barbuda,Export,Fish,2001,111
Americas,Antigua and Barbuda,Import,Crustaceans,2001,7
Americas,Antigua and Barbuda,Import,Fish,2001,432
Americas,Argentina,Export,Crustaceans,2001,61712
Americas,Argentina,Export,Fish,2001,210108
Americas,Argentina,Import,Crustaceans,2001,550
Americas,Argentina,Import,Fish,2001,34179
Americas,Aruba,Export,Fish,2001,110
Americas,Aruba,Import,Crustaceans,2001,39
Americas,Aruba,Import,Fish,2001,1479
Americas,Bahamas,Export,Crustaceans,2001,2324
Americas,Bahamas,Export,Fish,2001,73
Americas,Bahamas,Import,Crustaceans,2001,606
Americas,Bahamas,Import,Fish,2001,3147
Americas,Barbados,Export,Crustaceans,2001,0
Americas,Barbados,Export,Fish,2001,327
Americas,Barbados,Import,Crustaceans,2001,241
Americas,Barbados,Import,Fish,2001,3923
Americas,Belize,Export,Crustaceans,2001,550
Americas,Belize,Export,Fish,2001,1076
Americas,Belize,Import,Crustaceans,2001,8
Americas,Belize,Import,Fish,2001,406
Americas,Bermuda,Export,Crustaceans,2001,0
Americas,Bermuda,Export,Fish,2001,0
Americas,Bermuda,Import,Crustaceans,2001,210
Americas,Bermuda,Import,Fish,2001,938
Americas,Bolivia (Plurinat.State),Export,Fish,2001,85
Americas,Bolivia (Plurinat.State),Import,Crustaceans,2001,29
Americas,Bolivia (Plurinat.State),Import,Fish,2001,6621
Americas,Brazil,Export,Crustaceans,2001,26688
Americas,Brazil,Export,Fish,2001,45137
Americas,Brazil,Import,Crustaceans,2001,539
Americas,Brazil,Import,Fish,2001,166009
Americas,Canada,Export,Crustaceans,2001,166249
Americas,Canada,Export,Fish,2001,321201
Americas,Canada,Import,Crustaceans,2001,100708
Americas,Canada,Import,Fish,2001,230655
Americas,Cayman Islands,Export,Fish,2001,62
Americas,Cayman Islands,Import,Crustaceans,2001,66
Americas,Cayman Islands,Import,Fish,2001,148
Americas,Chile,Export,Crustaceans,2001,5207
Americas,Chile,Export,Fish,2001,687117
Americas,Chile,Import,Crustaceans,2001,370
Americas,Chile,Import,Fish,2001,7562
Americas,Colombia,Export,Crustaceans,2001,13074
Americas,Colombia,Export,Fish,2001,66406
Americas,Colombia,Import,Crustaceans,2001,234
Americas,Colombia,Import,Fish,2001,59189
Americas,Costa Rica,Export,Crustaceans,2001,2740
Americas,Costa Rica,Export,Fish,2001,41715
Americas,Costa Rica,Import,Crustaceans,2001,450
Americas,Costa Rica,Import,Fish,2001,19969
Americas,Cuba,Export,Crustaceans,2001,6143
Americas,Cuba,Export,Fish,2001,665
Americas,Cuba,Import,Crustaceans,2001,76
Americas,Cuba,Import,Fish,2001,28089
Americas,Curaçao,Export,Crustaceans,2001,0
Americas,Curaçao,Export,Fish,2001,0
Americas,Curaçao,Import,Crustaceans,2001,0
Americas,Curaçao,Import,Fish,2001,0
Americas,Dominica,Export,Fish,2001,0
Americas,Dominica,Import,Crustaceans,2001,2
Americas,Dominica,Import,Fish,2001,569
Americas,Dominican Republic,Export,Crustaceans,2001,45
Americas,Dominican Republic,Export,Fish,2001,1499
Americas,Dominican Republic,Import,Crustaceans,2001,228
Americas,Dominican Republic,Import,Fish,2001,27163
Americas,Ecuador,Export,Crustaceans,2001,45539
Americas,Ecuador,Export,Fish,2001,196161
Americas,Ecuador,Import,Crustaceans,2001,30
Americas,Ecuador,Import,Fish,2001,5726
Americas,El Salvador,Export,Crustaceans,2001,2505
Americas,El Salvador,Export,Fish,2001,445
Americas,El Salvador,Import,Crustaceans,2001,287
Americas,El Salvador,Import,Fish,2001,5982
