Continente,Localidae,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Djibouti,Import,Crustaceans,8,2,2,3,3,19,5,10,20,47,7,7,6,3,45,23
Africa,Djibouti,Import,Fish,492,285,395,262,505,299,652,603,461,375,324,468,522,824,520,1186
Africa,Egypt,Export,Crustaceans,45,8,2,9,16,4,19,87,6,51,65,26,73,660,1779,1252
Africa,Egypt,Export,Fish,636,668,1630,2414,3209,4431,3333,3587,5743,4381,10071,9856,14903,19850,25184,30607
Africa,Egypt,Import,Crustaceans,46,576,235,196,925,1639,3092,7108,10137,11416,29816,16838,16100,10015,11696,12594
Africa,Egypt,Import,Fish,208963,206315,153250,162674,223095,221703,244448,244222,194125,223514,281400,243861,302601,260680,555037,458382
Africa,Equatorial Guinea,Export,Crustaceans,0,0,0,2,12,3,0,0,0,0,0,0,0,0,0,0
Africa,Equatorial Guinea,Export,Fish,395,144,29,18,16,3,26,30,20,30,10,21,30,24,23,24
Africa,Equatorial Guinea,Import,Crustaceans,0,0,7,8,7,11,30,33,50,35,84,107,90,84,101,82
Africa,Equatorial Guinea,Import,Fish,2476,4312,3295,4438,6138,5884,7735,7507,6269,10385,7740,9480,12296,11925,9540,6259
Africa,Eritrea,Export,Crustaceans,73,28,69,3,65,0,2,50,29,0,0,0,10,1,0,0
Africa,Eritrea,Export,Fish,442,134,121,425,53,53,24,134,34,7,0,1,20,0,0,0
Africa,Eritrea,Import,Crustaceans,0,9,5,0,3,6,4,0,0,2,1,1,0,0,0,0
Africa,Eritrea,Import,Fish,46,76,99,987,153,66,201,80,89,10,47,1,80,28,67,12
Africa,Ethiopia,Export,Fish,8,11,32,32,6,1,337,585,394,489,850,826,927,798,904,921
Africa,Ethiopia,Import,Crustaceans,0,0,0,0,5,3,0,2,10,14,12,16,27,110,23,14
Africa,Ethiopia,Import,Fish,53,24,273,330,202,329,779,369,713,318,396,532,607,1004,1019,1149
Africa,Gabon,Export,Crustaceans,1990,2245,2132,1589,2252,2050,1531,1145,529,56,21,0,49,4,2,0
Africa,Gabon,Export,Fish,1305,622,1619,438,2621,2772,2852,1082,2342,1459,1284,1178,1172,1183,1307,1163
Africa,Gabon,Import,Crustaceans,30,5,7,12,91,20,21,44,71,80,19,17,63,67,102,57
Africa,Gabon,Import,Fish,11012,11556,1831,3880,7634,7913,10430,8816,9758,11903,11063,15891,15896,18895,24101,24492
Africa,Gambia,Export,Crustaceans,779,272,141,134,60,260,7,117,2,5,26,0,8,14,38,15
Africa,Gambia,Export,Fish,584,364,606,440,207,565,67,1595,1743,3906,5911,2367,1911,1323,1450,860
Africa,Gambia,Import,Crustaceans,8,61,38,1,3,1,0,0,43,0,0,32,11,2,114,160
Africa,Gambia,Import,Fish,826,650,1559,2050,1882,1158,1937,2356,2712,3496,5972,3602,2105,1686,951,1263
Africa,Ghana,Export,Crustaceans,355,321,105,234,948,129,300,504,172,46,18,158,18,65,67,177
Africa,Ghana,Export,Fish,53786,59712,45057,45629,43797,35482,23422,24907,23442,19226,21631,20085,22176,21665,21064,26395
Africa,Ghana,Import,Crustaceans,12,3,24,59,18,31,26,127,32,50,22,115,46,48,97,85
Africa,Ghana,Import,Fish,169302,170533,222028,104590,279438,260149,290273,362510,279387,248530,211422,320725,231447,347408,271762,297402
Africa,Guinea,Export,Crustaceans,175,96,71,131,13,35,0,0,0,417,220,199,191,66,4,3
Africa,Guinea,Export,Fish,2142,3161,4001,4953,7840,17009,14334,7923,7964,6445,7472,7629,9024,9527,10607,11268
Africa,Guinea,Import,Crustaceans,0,3,0,0,0,0,0,0,0,3,1,5,21,26,7,4
Africa,Guinea,Import,Fish,898,1187,830,1213,634,979,428,772,738,1402,1471,1494,1854,1849,3400,2332
Africa,Guinea-Bissau,Export,Crustaceans,77,159,141,203,107,152,61,0,0,0,0,0,0,0,0,0
Africa,Guinea-Bissau,Export,Fish,1698,2301,3817,1628,3855,4021,5373,4976,3377,3771,5666,4401,3716,4579,5280,5500
Africa,Guinea-Bissau,Import,Crustaceans,0,0,0,0,0,0,20,55,0,0,0,0,0,0,0,0
Africa,Guinea-Bissau,Import,Fish,147,167,199,276,338,366,331,644,913,771,305,444,415,562,442,582
Africa,Kenya,Export,Crustaceans,412,570,329,534,584,530,536,325,373,131,323,170,113,211,449,227
Africa,Kenya,Export,Fish,16242,17785,23643,18414,16688,17190,14098,15699,19719,14431,16757,14359,16478,10986,14167,9991
Africa,Kenya,Import,Crustaceans,4,4,19,26,31,15,6,1,0,102,11,22,86,104,126,115
Africa,Kenya,Import,Fish,11273,17077,8980,7301,13572,21026,27112,23918,17696,11432,14399,16010,17044,14640,22997,22284
Africa,Lesotho,Export,Crustaceans,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Africa,Lesotho,Export,Fish,0,0,7,4,3,0,0,0,25,183,413,388,136,194,528,627
Africa,Lesotho,Import,Crustaceans,8,14,4,7,0,0,0,0,5,13,49,34,12,5,10,2
Africa,Lesotho,Import,Fish,991,1231,2290,1668,1013,744,721,745,846,1121,1020,2200,1575,1493,3213,3183
Africa,Liberia,Export,Crustaceans,0,18,0,28,42,3,7,2,0,0,0,0,11,0,0,0
Africa,Liberia,Export,Fish,32,47,151,55,9,75,229,125,65,91,96,91,96,98,102,101
Africa,Liberia,Import,Crustaceans,24,1,18,1,5,20,13,18,17,19,10,5,6,8,43,30
Africa,Liberia,Import,Fish,3746,1903,1132,2623,1163,1412,2275,1130,4044,3320,6076,6861,7079,11491,14366,12557
Africa,Libya,Export,Crustaceans,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0
Africa,Libya,Export,Fish,1868,1375,1695,2216,3120,3836,2000,1137,959,579,616,363,980,1024,921,1060
Africa,Libya,Import,Crustaceans,6,11,21,38,73,22,3,6,0,140,307,136,110,306,265,164
Africa,Libya,Import,Fish,4442,4587,4119,4346,4617,9197,13575,17058,16768,27554,43098,39003,54926,56063,50870,40764
Africa,Madagascar,Export,Crustaceans,2156,12538,15282,6358,7333,11941,12013,13443,11473,9479,7715,10642,7372,8207,10452,7117
Africa,Madagascar,Export,Fish,10621,16809,15581,23645,19252,10154,17804,13193,8267,6688,11201,12047,8154,8297,10982,11197
Africa,Madagascar,Import,Crustaceans,9,38,1,1,1,881,138,223,104,3,18,216,51,23,1,23
Africa,Madagascar,Import,Fish,13521,12637,17641,22733,16160,14728,29963,22379,14409,14752,18038,20289,14374,16816,20220,14949
Africa,Malawi,Export,Fish,42,34,26,43,42,128,585,32,34,15,21,67,49,23,14,12
Africa,Malawi,Import,Crustaceans,0,3,2,1,0,0,0,0,0,0,3,1,7,9,23,39
Africa,Malawi,Import,Fish,1485,345,244,583,703,426,1740,1734,3224,2103,1916,1316,1180,1669,2498,2628
Africa,Mali,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Africa,Mali,Export,Fish,761,950,1136,425,456,371,337,634,496,301,278,879,174,259,695,186
Africa,Mali,Import,Crustaceans,41,37,19,60,34,38,37,7,45,77,97,16,200,97,191,613
Africa,Mali,Import,Fish,2696,2923,2704,5500,6989,11014,12912,14606,15378,16246,23196,21902,20556,22137,32470,32461
Africa,Mauritania,Export,Crustaceans,781,1657,1286,1417,1041,1212,1201,1154,788,350,2955,4062,2226,1065,3163,2151
Africa,Mauritania,Export,Fish,66340,65376,79185,73287,53860,80540,72419,89426,119491,55580,99624,209019,288267,180262,219231,253061
Africa,Mauritania,Import,Crustaceans,0,0,0,0,0,0,11,0,3,0,0,3,0,37,100,51
Africa,Mauritania,Import,Fish,120,173,414,457,78,543,296,569,681,1433,2332,1921,2915,3104,4320,3770
Africa,Mauritius,Export,Crustaceans,0,0,0,210,1,0,8,5,0,0,0,0,0,1,0,0
Africa,Mauritius,Export,Fish,18152,27380,28940,32021,33266,36763,50027,49809,49060,50567,61195,54867,59053,59219,70009,63348
Africa,Mauritius,Import,Crustaceans,1243,1440,1190,1465,1450,1487,1341,1570,1593,1449,1483,1788,1766,1720,1714,1663
Africa,Mauritius,Import,Fish,39835,49428,81312,61120,78317,101705,148735,126327,147537,142573,139934,158800,146731,166243,178953,175715
Africa,Mayotte,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Africa,Mayotte,Export,Fish,4,28,127,201,125,124,122,122,95,83,80,85,76,63,50,0
Africa,Mayotte,Import,Crustaceans,9,23,18,30,21,46,29,42,45,56,22,4,5,2,0,0
Africa,Mayotte,Import,Fish,591,797,1063,1088,956,1151,1227,1040,1656,1308,1209,1419,1208,1238,1229,1031
Africa,Morocco,Export,Crustaceans,12959,11420,10959,9639,7147,9279,9756,15876,14079,14547,14156,17398,16393,15965,17430,18930
Africa,Morocco,Export,Fish,129286,163860,193397,191453,174105,197415,270967,256940,286893,288770,279834,213072,278013,313393,311004,357348
Africa,Morocco,Import,Crustaceans,8351,5997,7079,8180,7358,8011,10641,22408,20240,19095,28881,35012,32824,32892,35972,39262
Africa,Morocco,Import,Fish,3939,5407,9888,11782,23499,22460,30808,23077,44698,24806,19397,19397,11958,15680,29638,30499
Africa,Mozambique,Export,Crustaceans,7265,6450,8835,6444,6205,7361,14617,10034,10041,8520,8315,4745,2510,4421,5889,3578
Africa,Mozambique,Export,Fish,3244,1946,2532,4265,6648,6669,1814,2249,1212,1033,1197,2825,4249,4816,8366,7831
Africa,Mozambique,Import,Crustaceans,80,1,1,1808,7,2,11,33,2,2,1,5,9,29,27,21
Africa,Mozambique,Import,Fish,5820,4274,6242,9220,12969,18721,16638,14411,19118,18394,16723,27350,26978,44928,50035,52352
Africa,Namibia,Export,Crustaceans,1346,1545,1389,1389,1645,1546,1306,1195,1503,2234,2126,2119,1802,1334,2476,2337
Africa,Namibia,Export,Fish,384992,311379,312572,308263,291353,253834,396990,323827,319026,337595,306847,348288,334441,386157,386445,416349
Africa,Namibia,Import,Crustaceans,47,43,65,42,64,187,378,452,428,1335,317,496,254,305,298,257
Africa,Namibia,Import,Fish,89079,33530,12854,15532,18025,14445,13937,19393,20543,31389,20641,13710,13175,14816,16119,20015
Africa,Niger,Export,Crustaceans,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Africa,Niger,Export,Fish,1618,6676,8025,5905,3684,2260,681,287,449,405,556,815,831,1228,1367,658
Africa,Niger,Import,Crustaceans,2,1,0,5,0,1,0,1,1,2,5,3,2,2,3,20
Africa,Niger,Import,Fish,895,676,586,514,564,1244,2237,1542,2664,3409,3657,2856,3894,4814,5813,7462
Africa,Nigeria,Export,Crustaceans,2195,2340,2496,2114,3631,6902,15730,19956,10853,24690,23725,9399,9044,18350,11708,8576
Africa,Nigeria,Export,Fish,224,628,597,246,605,754,813,1169,688,204,300,22415,9270,63571,4040,3053
Africa,Nigeria,Import,Crustaceans,12,0,18,3,14,1,22,24,0,81,90,1671,385,1511,220,811
Africa,Nigeria,Import,Fish,311871,633387,543822,622965,778731,841741,1247871,999824,1042398,1108631,1330691,1589401,1083208,868036,992591,886643
Africa,Rwanda,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0
Africa,Rwanda,Export,Fish,0,0,0,0,0,38,0,92,310,555,253,120,317,173,1208,2098
Africa,Rwanda,Import,Crustaceans,5,0,1,3,0,0,0,0,1,3,3,2,3,2,5,2
Africa,Rwanda,Import,Fish,130,102,197,109,7,58,1342,2718,3599,4875,6897,11915,13300,12119,15205,23616
Africa,Saint Helena,Export,Crustaceans,145,192,196,97,144,160,150,131,171,264,339,186,249,300,244,281
Africa,Saint Helena,Export,Fish,160,355,309,229,336,572,478,596,790,510,372,694,387,419,428,624
Africa,Saint Helena,Import,Crustaceans,0,4,0,25,4,0,21,0,0,0,0,0,0,0,7,1
Africa,Saint Helena,Import,Fish,57,55,46,31,19,101,166,57,16,8,22,12,6,26,29,43
Africa,Sao Tome and Principe,Export,Crustaceans,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Sao Tome and Principe,Export,Fish,53,300,82,0,0,0,0,0,0,0,1,0,0,0,2,2
Africa,Sao Tome and Principe,Import,Crustaceans,0,0,0,0,0,1,2,1,8,4,4,4,8,8,6,7
Africa,Sao Tome and Principe,Import,Fish,19,0,3,7,5,3,29,19,33,27,28,51,43,45,44,28
Africa,Senegal,Export,Crustaceans,6909,7687,5970,5480,10684,9790,8695,7809,4741,4284,3551,4309,5284,4789,4249,4378
Africa,Senegal,Export,Fish,66526,63266,60109,68138,95012,74208,65782,87440,73125,78367,78034,92458,90520,124112,134315,173157
Africa,Senegal,Import,Crustaceans,66,49,120,24,35,69,21,6,14,80,74,77,104,146,19,65
Africa,Senegal,Import,Fish,606,392,158,265,447,438,375,880,1120,304,6354,14087,8437,8545,9470,19121
Africa,Seychelles,Export,Crustaceans,331,316,213,901,1111,786,619,364,331,23,1,0,0,0,0,8
Africa,Seychelles,Export,Fish,42096,62891,65520,128334,102306,114356,99635,94997,72241,72560,82478,105684,107426,97456,77485,106393
Africa,Seychelles,Import,Crustaceans,39,16,12,44,47,40,54,130,273,51,511,895,677,374,623,805
Africa,Seychelles,Import,Fish,19003,18770,32020,85882,81573,87331,91984,115920,35709,64103,70006,69927,62961,60914,67178,67708
Africa,Sierra Leone,Export,Crustaceans,1082,1154,2515,3299,2429,2536,1916,1721,1615,1591,1675,1583,1752,1550,1230,1200
Africa,Sierra Leone,Export,Fish,5496,5031,5080,3008,3080,3404,3552,3853,3768,3944,3942,4079,4310,3848,4209,4787
Africa,Sierra Leone,Import,Crustaceans,14,83,29,29,11,1,3,0,1,0,0,1,7,1,81,25
Africa,Sierra Leone,Import,Fish,726,955,645,1679,1249,1162,918,1754,1525,2038,972,1365,1072,1370,1622,915
Africa,Somalia,Export,Crustaceans,18,2,19,0,9,69,15,0,231,0,5,77,34,17,3,26
Africa,Somalia,Export,Fish,1101,1642,2867,1378,2243,2692,2010,2217,3152,4147,1133,1396,936,1235,1462,2106
Africa,Somalia,Import,Crustaceans,0,0,0,0,0,0,18,0,0,1,1,0,8,0,1,4
Africa,Somalia,Import,Fish,71,15,111,142,225,283,1117,684,907,1426,899,1365,1141,2004,2415,3734
Africa,South Africa,Export,Crustaceans,2271,2155,2611,2359,3351,4397,4204,2857,2412,3327,2690,2542,2930,3210,3306,2505
Africa,South Africa,Export,Fish,127000,136172,130521,118739,106464,123422,98084,94365,93436,111280,105576,108188,101227,105545,114387,92914
Africa,South Africa,Import,Crustaceans,2870,2990,2987,3157,5568,7941,8685,9534,8236,9472,7764,11215,10692,11391,10024,8025
Africa,South Africa,Import,Fish,16798,22255,21619,27254,35379,33663,38357,56368,70673,87184,75783,68809,111814,115984,166483,139926
Africa,South Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Africa,South Sudan,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Africa,South Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,144,289,252,179
Africa,Sudan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,155,193,654,1120
Africa,Sudan,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,23,76,11,0
Africa,Sudan,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,0,2802,2856,2097,3033
Africa,Sudan (former),Export,Crustaceans,0,0,1,1,2,0,0,0,5,2,0,2,0,0,0,0
Africa,Sudan (former),Export,Fish,99,132,1159,1595,2556,2345,59,74,563,591,19,230,0,0,0,0
Africa,Sudan (former),Import,Crustaceans,0,0,0,0,0,1,19,3,40,76,129,67,0,0,0,0
Africa,Sudan (former),Import,Fish,240,169,446,266,46,125,1906,1676,1327,2324,2367,3257,0,0,0,0
Africa,Swaziland,Export,Crustaceans,453,400,438,512,919,536,36,0,0,0,0,0,1,0,0,0
Africa,Swaziland,Export,Fish,1110,724,731,492,908,457,96,69,59,24,20,20,2,0,1,1
Africa,Swaziland,Import,Crustaceans,558,306,415,624,712,375,236,90,62,0,1,31,17,29,26,24
Africa,Swaziland,Import,Fish,5169,3390,3040,4812,5887,3812,2287,1909,1169,1139,1114,1118,1106,1695,3026,2941
Africa,"Tanzania, United Rep. of",Export,Crustaceans,1767,2067,2432,2874,2787,4004,1261,943,569,494,639,442,2454,888,673,1366
Africa,"Tanzania, United Rep. of",Export,Fish,40529,41531,38546,44173,49217,42896,37216,47677,54467,39465,39611,39704,42004,33687,38342,33119
Africa,"Tanzania, United Rep. of",Import,Crustaceans,21,54,5,8,16,44,11,31,4,4,3,7,4,7,3,6
Africa,"Tanzania, United Rep. of",Import,Fish,297,221,150,291,370,450,2919,6822,6817,6243,5913,3883,6367,9267,19486,19605
Africa,Togo,Export,Crustaceans,215,230,0,0,16,0,0,0,91,0,0,0,8,10,0,25
Africa,Togo,Export,Fish,6181,9038,8968,7051,6948,6121,5018,259,2146,3603,485,834,36,108,190,179
Africa,Togo,Import,Crustaceans,3,35,146,317,111,1,3,79,0,38,0,10,13,1,3,6
Africa,Togo,Import,Fish,29880,27893,17672,19769,12845,21541,15357,13934,10933,15524,39471,53175,53845,51069,48533,59978
Africa,Tunisia,Export,Crustaceans,7058,4448,3649,3683,3885,4531,3706,3118,3540,2865,2941,3350,2689,3289,3732,4258
Africa,Tunisia,Export,Fish,2297,3498,5144,3199,5183,8395,9692,11999,10709,9852,9732,14182,12733,11561,9743,10455
Africa,Tunisia,Import,Crustaceans,143,38,80,83,34,185,174,459,431,962,1433,1007,770,237,63,55
Africa,Tunisia,Import,Fish,11232,16982,17379,27722,25611,36368,37972,37479,43732,44926,43026,41737,45155,36069,38163,25388
Africa,Uganda,Export,Crustaceans,0,9,0,12,0,25,0,0,6,0,18,0,3,10,1,0
Africa,Uganda,Export,Fish,14499,17013,25125,25406,31327,38371,36120,30872,26552,22535,22711,19421,21182,20183,17530,17814
Africa,Uganda,Import,Crustaceans,6,6,7,9,14,10,11,15,20,17,12,10,18,29,72,45
Africa,Uganda,Import,Fish,64,10,89,639,167,310,261,322,710,474,780,1299,1242,948,1846,2111
Africa,Zambia,Export,Crustaceans,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0
Africa,Zambia,Export,Fish,710,980,765,613,582,1032,254,240,1817,686,430,75,53,145,228,334
Africa,Zambia,Import,Crustaceans,7,10,7,2,4,0,5,9,4,18,33,42,66,132,107,97
Africa,Zambia,Import,Fish,1327,906,2120,3407,3961,5796,3867,4635,3435,3261,4426,8412,17902,33017,55642,78047
Africa,Zimbabwe,Export,Crustaceans,1,2,2,0,2,0,0,2,0,0,0,0,3,0,0,0
Africa,Zimbabwe,Export,Fish,816,936,712,520,708,563,805,1439,1487,966,1137,2056,2516,3255,5878,4972
Africa,Zimbabwe,Import,Crustaceans,79,41,61,28,53,171,48,29,16,11,19,32,32,67,63,83
Africa,Zimbabwe,Import,Fish,7453,3062,1494,952,2636,825,3472,1939,2273,3379,9968,13572,15513,17277,18053,21148
Americas,Antigua and Barbuda,Export,Crustaceans,21,9,12,8,5,1,4,2,2,6,2,13,13,18,1,4
Americas,Antigua and Barbuda,Export,Fish,6,111,61,83,67,49,103,34,84,50,56,102,101,62,56,40
Americas,Antigua and Barbuda,Import,Crustaceans,183,7,74,829,305,159,208,172,101,187,167,161,153,169,197,186
Americas,Antigua and Barbuda,Import,Fish,1377,432,660,821,1114,1327,1548,1914,1454,1325,1294,1399,1465,1417,1361,1513
Americas,Argentina,Export,Crustaceans,32865,61712,52547,47728,27914,7478,39585,45254,43395,52118,64597,79630,80650,93501,109815,122989
Americas,Argentina,Export,Fish,227595,210108,274687,312840,368083,351486,362127,306225,289190,328673,307480,287628,252139,240276,244148,219928
Americas,Argentina,Import,Crustaceans,1024,550,46,81,115,391,629,502,555,557,933,951,729,759,585,649
Americas,Argentina,Import,Fish,36547,34179,6854,15531,25191,29556,30856,37171,29149,27420,34490,38897,37129,34550,29831,40286
Americas,Aruba,Export,Fish,81,110,335,242,190,106,13,10,4,2,3,0,0,23,1,5
Americas,Aruba,Import,Crustaceans,116,39,49,32,59,62,68,54,62,542,470,425,565,561,633,735
Americas,Aruba,Import,Fish,1589,1479,1516,1854,1824,1603,1999,1863,1985,1621,1612,1435,1813,1750,1783,1981
Americas,Bahamas,Export,Crustaceans,3675,2324,2624,3423,2683,2085,2345,2104,2125,2370,2186,2133,2285,2746,1945,2184
Americas,Bahamas,Export,Fish,39,73,46,110,31,15,43,82,51,130,71,95,79,142,73,51
Americas,Bahamas,Import,Crustaceans,556,606,495,423,373,404,428,470,507,450,477,382,446,291,441,411
Americas,Bahamas,Import,Fish,3633,3147,2967,3151,2837,2969,3354,3406,3789,3046,2514,3322,3479,3430,3463,3509
Americas,Barbados,Export,Crustaceans,1,0,1,3,5,7,5,6,3,2,1,2,1,2,1,1
Americas,Barbados,Export,Fish,276,327,206,238,234,382,232,230,165,50,100,122,129,151,174,187
Americas,Barbados,Import,Crustaceans,213,241,225,226,122,256,239,237,270,225,231,248,217,235,247,309
Americas,Barbados,Import,Fish,3400,3923,4383,4498,4154,7682,6142,5949,5546,5140,5026,5553,5779,4740,5483,5872
Americas,Belize,Export,Crustaceans,2378,550,657,6592,8048,8865,7403,2686,3692,5147,5384,4869,4903,6863,7600,10043
Americas,Belize,Export,Fish,29,1076,38,80,175,228,310,225,1307,972,1306,726,228,276,174,265
Americas,Belize,Import,Crustaceans,134,8,7,12,3,18,3,2,2,1,112,5,2,2,19,25
Americas,Belize,Import,Fish,233,406,636,686,219,271,284,212,356,266,432,167,287,280,252,592
Americas,Bermuda,Export,Crustaceans,11,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0
Americas,Bermuda,Export,Fish,4,0,3,0,0,0,21,2,20,25,19,0,0,2,2,1
