Continente,Localidade,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Americas,Barbados,Export,Fish,1239,1321,892,844,791,1311,652,869,711,322,586,520,523,345,376,457
Americas,Barbados,Import,Crustaceans,1625,1758,1772,1531,979,1557,1829,2054,2318,1615,1561,2058,1878,1990,2247,2982
Americas,Barbados,Import,Fish,8823,10094,11135,11599,10250,14991,16254,16201,17227,15854,15844,19374,23312,19489,21816,22062
Americas,Belize,Export,Crustaceans,30196,8242,7700,53199,50291,38483,38224,17521,18265,20976,22709,19382,21989,49145,52083,39561
Americas,Belize,Export,Fish,112,1078,85,59,711,699,665,627,2359,1353,3873,1174,737,856,529,568
Americas,Belize,Import,Crustaceans,1443,5,19,19,17,47,7,7,10,2,380,26,4,5,161,258
Americas,Belize,Import,Fish,376,272,408,424,388,439,487,427,694,465,497,333,603,575,956,500
Americas,Bermuda,Export,Crustaceans,254,0,0,0,0,94,0,0,0,0,0,0,3,16,14,8
Americas,Bermuda,Export,Fish,18,46,46,0,0,0,44,15,280,356,61,0,8,27,17,14
Americas,Bermuda,Import,Crustaceans,2431,2545,2761,2900,2300,3667,3816,3305,2896,2268,2230,2165,2131,2895,2991,2330
Americas,Bermuda,Import,Fish,3901,4865,4497,4329,4982,7893,8888,8915,7762,7059,5707,6549,7958,9134,8833,8420
Americas,Bolivia (Plurinat.State),Export,Fish,24,35,3,22,0,1,0,14,49,18,0,0,0,0,0,0
Americas,Bolivia (Plurinat.State),Import,Crustaceans,188,114,92,63,80,72,41,33,29,33,49,52,76,124,150,222
Americas,Bolivia (Plurinat.State),Import,Fish,8842,5271,5302,3440,2504,3195,4736,5235,9875,10169,9824,17608,16265,17716,18667,21465
Americas,Brazil,Export,Crustaceans,157288,189528,248370,313951,304876,273073,242097,168060,144169,82571,102828,86506,57619,78385,74289,74597
Americas,Brazil,Export,Fish,81544,93576,93135,103585,115759,126952,122781,138509,118342,107153,113437,134872,152119,139503,132926,145512
Americas,Brazil,Import,Crustaceans,1362,1077,569,148,332,407,331,621,462,773,793,1236,588,907,872,597
Americas,Brazil,Import,Fish,317030,257406,211225,201459,266141,296319,461269,556155,677237,705095,1028376,1227332,1215400,1428518,1510546,1162792
Americas,Canada,Export,Crustaceans,1316187,1306512,1520599,1709836,1797845,1762043,1766123,1894487,1836435,1553216,1872380,2217390,2263490,2398346,2660986,2788642
Americas,Canada,Export,Fish,1244067,1251891,1272123,1311330,1381107,1530628,1570640,1486789,1544957,1388725,1620304,1565595,1553878,1530908,1421755,1440926
Americas,Canada,Import,Crustaceans,568194,547567,499958,483252,527152,570942,626256,656978,602699,604418,720632,883611,848259,902053,1097427,943161
Americas,Canada,Import,Fish,654213,647117,672780,751128,801378,855536,922784,1061693,1127306,1122862,1188181,1350945,1403007,1501259,1441821,1333270
Americas,Cayman Islands,Export,Fish,180,94,108,50,200,130,346,76,130,426,172,140,0,3,5,185
Americas,Cayman Islands,Import,Crustaceans,545,753,995,958,702,389,1113,934,951,994,871,789,1150,1328,1395,1287
Americas,Cayman Islands,Import,Fish,391,722,872,892,920,452,1855,2717,1763,2240,2539,2596,2952,2294,2146,1774
Americas,Chile,Export,Crustaceans,59186,48357,37786,34621,38199,45479,45785,43182,49942,43144,61733,84936,86436,91296,111794,111596
Americas,Chile,Export,Fish,1333735,1412501,1320666,1560806,1866012,2201711,2692743,2769494,2883495,2604159,2453268,3358631,3297259,3955591,4716791,3811185
Americas,Chile,Import,Crustaceans,4232,3285,2762,2733,3254,4907,6384,9126,12615,12123,20200,30061,37554,46374,58649,55461
Americas,Chile,Import,Fish,18458,17753,19033,21593,31758,38105,45460,53195,75123,55749,89941,163223,145427,164597,140334,148692
Americas,Colombia,Export,Crustaceans,100004,95232,84765,78944,66387,84892,82245,69374,85035,68906,57993,45243,47397,26915,23157,22729
Americas,Colombia,Export,Fish,89790,79155,80802,80661,92645,95264,82649,118730,154294,137110,120073,142676,153070,164635,195570,144094
Americas,Colombia,Import,Crustaceans,471,1076,600,756,1264,1901,3425,5017,5842,5947,10480,13463,16836,32682,43340,33719
Americas,Colombia,Import,Fish,55037,55288,64447,69063,82921,109800,120362,150445,209729,194921,217630,270983,321561,392167,429045,366294
Americas,Costa Rica,Export,Crustaceans,20123,18495,19378,10942,13036,13456,11167,7211,5965,4959,3691,3514,7014,12648,15624,15619
Americas,Costa Rica,Export,Fish,97498,115020,118977,121217,102187,108306,94242,99949,121069,111074,101198,124800,165822,142405,127719,119584
Americas,Costa Rica,Import,Crustaceans,1581,2473,2130,2026,1309,1026,1244,1755,1329,2383,2719,5472,4122,3084,7413,8789
Americas,Costa Rica,Import,Fish,15111,17344,26691,23117,26438,26655,31576,38729,55118,47705,42046,61813,77764,86214,117037,125685
Americas,Cuba,Export,Crustaceans,85656,77335,89338,60833,84327,75031,67229,85662,78851,44646,58873,64292,46332,43184,41182,52179
Americas,Cuba,Export,Fish,894,1666,2780,3503,4017,1130,1216,1303,796,813,557,931,853,767,671,642
Americas,Cuba,Import,Crustaceans,97,514,300,145,392,919,230,872,481,70,81,64,122,121,112,411
Americas,Cuba,Import,Fish,37659,29943,18458,26219,48268,49538,35015,40090,52105,34547,23079,28398,26271,24072,27997,36266
Americas,Curaçao,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,193,0,0,10,58
Americas,Curaçao,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,20425,35862,37956,32282,25986
Americas,Curaçao,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,2784,740,1345,2034,1250
Americas,Curaçao,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,7777,7813,6767,5955,6648
Americas,Dominica,Export,Fish,0,0,1,4,1,32,1,6,6,2,0,6,0,5,2,3
Americas,Dominica,Import,Crustaceans,30,17,30,27,28,46,42,71,52,157,114,195,111,69,21,39
Americas,Dominica,Import,Fish,1544,1231,1374,1279,1516,1593,1617,1736,1897,2202,1699,1986,1939,2091,3538,3186
Americas,Dominican Republic,Export,Crustaceans,55,63,160,178,437,1817,1636,1793,1509,1624,2611,4155,2571,2672,2502,3859
Americas,Dominican Republic,Export,Fish,2497,2055,3003,5088,2296,4942,1960,1514,2709,2743,4422,10489,6194,9988,11176,10345
Americas,Dominican Republic,Import,Crustaceans,1737,1825,1931,2167,2066,3059,5875,8133,9973,10564,12070,16309,13293,10186,17312,13286
Americas,Dominican Republic,Import,Fish,49055,53649,66452,52035,56218,66388,72553,78779,101613,110297,118318,132536,144004,116039,126104,133886
Americas,Ecuador,Export,Crustaceans,279596,291524,260954,283213,339528,456446,601073,606933,685768,661517,838499,1186235,1290807,1805654,2600534,2318003
Americas,Ecuador,Export,Fish,287126,351201,424337,473626,434083,517998,687257,718676,996648,860228,838783,1171667,1425459,1619623,1535196,1183046
Americas,Ecuador,Import,Crustaceans,102,308,416,1011,1754,1395,390,451,551,295,548,796,4979,4631,3683,179
Americas,Ecuador,Import,Fish,1147,3941,22913,27682,17950,3684,7018,52208,226466,217229,219728,282524,181349,111442,123505,83586
Americas,El Salvador,Export,Crustaceans,19829,20651,12608,15154,9942,12257,11591,13387,4387,7775,4563,788,458,928,731,542
Americas,El Salvador,Export,Fish,6737,3967,8978,18219,39039,61589,56441,95807,113002,84024,70474,75949,103122,114621,103124,80747
Americas,El Salvador,Import,Crustaceans,1139,562,786,1238,1654,1964,3295,5495,3942,7794,3991,2587,2652,2310,1923,2608
Americas,El Salvador,Import,Fish,6672,7585,5197,8259,15215,43699,32873,48045,24801,68628,38197,28283,40986,58396,47775,33475
Americas,Falkland Is.(Malvinas),Export,Fish,21340,23190,26090,27470,36710,36915,40320,31000,52210,55880,88975,78358,29364,71040,49300,26286
Americas,Falkland Is.(Malvinas),Import,Crustaceans,16,15,18,48,25,54,72,66,79,56,59,71,14,7,4,15
Americas,Falkland Is.(Malvinas),Import,Fish,163,141,13,43,158,135,143,67,104,160,152,188,154,134,255,174
Americas,Greenland,Export,Crustaceans,194902,179059,172987,218835,220302,238169,211035,149918,255712,203627,207600,265117,252152,240591,247474,173216
Americas,Greenland,Export,Fish,66766,54561,68533,127154,114484,120712,134268,140170,160239,113961,146304,183476,179000,209160,270003,211790
Americas,Greenland,Import,Crustaceans,337,489,803,707,677,513,1736,363,754,2990,1565,1012,808,897,1858,2561
Americas,Greenland,Import,Fish,814,875,987,2059,2789,2295,2741,1848,3531,3127,3248,4036,3793,7893,3863,3311
Americas,Grenada,Export,Crustaceans,19,109,7,67,114,182,80,7,23,91,45,63,94,81,117,153
Americas,Grenada,Export,Fish,3389,3943,3856,3190,2968,3334,3654,4108,2934,4828,6419,5338,5465,6546,7964,5204
Americas,Grenada,Import,Crustaceans,104,120,70,90,120,107,228,358,341,250,146,136,112,144,258,243
Americas,Grenada,Import,Fish,2045,2411,2473,2387,2488,2708,3446,4217,4203,3429,2774,2650,3114,2329,2680,1979
Americas,Guatemala,Export,Crustaceans,21275,10089,28663,40491,38104,24975,39394,47972,55882,50337,45748,48497,56600,62595,74593,58054
Americas,Guatemala,Export,Fish,13786,12315,4749,2394,14889,24202,28049,41080,21972,36380,52609,57570,66475,60610,55173,33679
Americas,Guatemala,Import,Crustaceans,1407,1705,6182,7244,8810,3047,4196,4929,7172,7819,12090,19487,14687,23714,59168,40286
Americas,Guatemala,Import,Fish,5203,6452,8617,8789,17347,27312,26589,31459,21717,29463,54031,51065,73028,65910,62157,41538
Americas,Guyana,Export,Crustaceans,33061,43134,34807,34956,35553,40845,38037,37694,41041,30650,29414,24964,48609,53425,33254,42873
Americas,Guyana,Export,Fish,18233,18822,19665,19154,26438,23246,26744,26047,26889,22515,19762,28601,27883,36088,40133,44427
Americas,Guyana,Import,Crustaceans,12,94,58,109,68,5,2,384,7,2,4,4,17,10,17,41
Americas,Guyana,Import,Fish,889,930,1542,952,1382,1417,1455,2276,1238,1625,1677,2543,2915,2811,2800,2452
Americas,Haiti,Export,Crustaceans,3115,2861,3506,3087,2798,3658,3404,4353,4049,3524,3749,5676,4060,3988,4067,4151
Americas,Haiti,Export,Fish,423,409,336,260,373,234,215,307,497,667,421,456,357,650,1089,1904
Americas,Haiti,Import,Crustaceans,7,0,4,1,140,75,80,92,135,122,190,328,261,325,509,392
Americas,Haiti,Import,Fish,5931,7051,4678,7887,8487,9729,16394,16920,21720,26442,20095,34205,21543,42270,41687,44598
Americas,Honduras,Export,Crustaceans,177336,203256,115754,133441,136172,144619,162580,132948,129669,119223,146459,111877,197731,281321,345340,316075
Americas,Honduras,Export,Fish,8850,8134,18332,15790,23535,43392,49245,51117,55035,48956,20234,30462,60348,69104,71121,73594
Americas,Honduras,Import,Crustaceans,11664,7512,5817,4865,4142,3871,4329,4803,5827,4965,6003,6100,4630,5539,6241,7920
Americas,Honduras,Import,Fish,3465,2625,2664,3558,3590,5429,4741,6716,8054,8349,9118,10806,11913,12197,11191,13862
Americas,Jamaica,Export,Crustaceans,6964,9607,3819,7082,6399,7233,6804,4663,5234,4078,6874,8606,8303,9938,8144,5957
Americas,Jamaica,Export,Fish,3037,2210,1712,1095,1012,2266,4014,3605,3000,554,536,1318,613,512,402,174
Americas,Jamaica,Import,Crustaceans,3494,4072,2833,2966,3623,3886,4631,6337,5345,5555,7951,5942,7713,8238,9374,7857
Americas,Jamaica,Import,Fish,47386,54810,54308,55451,54835,71466,74650,86401,95759,81627,80838,97470,100440,95646,97682,92534
Americas,Mexico,Export,Crustaceans,526839,503389,371669,379151,392223,381544,413716,462751,427376,433530,306916,443111,388663,416545,491946,463362
Americas,Mexico,Export,Fish,106531,103370,119960,189496,138187,160875,159714,197503,197806,184008,220525,334775,348887,322584,378165,353497
Americas,Mexico,Import,Crustaceans,22266,36939,46885,55706,49555,74677,78106,98281,124466,75257,102428,105087,107700,203471,290736,130187
Americas,Mexico,Import,Fish,74995,101151,112015,137453,208399,231547,315850,391578,415742,270846,382328,465870,501231,533076,593903,587259
Americas,Montserrat,Import,Crustaceans,12,8,5,9,7,11,16,16,19,18,20,21,33,30,31,30
Americas,Montserrat,Import,Fish,232,205,207,219,199,256,317,301,343,368,305,321,334,353,303,274
Americas,Netherlands Antilles,Export,Crustaceans,67,31,1,47,91,131,32,5,2,8,34,0,0,0,0,0
Americas,Netherlands Antilles,Export,Fish,5611,5870,5229,8752,9033,2353,3226,2529,18954,17207,14725,0,0,0,0,0
Americas,Netherlands Antilles,Import,Crustaceans,1918,1332,812,935,1286,1492,1851,2032,2485,2654,3675,0,0,0,0,0
Americas,Netherlands Antilles,Import,Fish,5460,4455,3425,4751,5715,6600,8365,8675,10767,14937,13744,0,0,0,0,0
Americas,Nicaragua,Export,Crustaceans,118187,33118,35703,55734,85377,89192,70883,74938,104623,82639,107622,115203,175385,225490,262020,226552
Americas,Nicaragua,Export,Fish,9555,9342,11482,11830,12822,16259,17085,20357,21470,21357,23615,23798,24278,26927,34670,29944
Americas,Nicaragua,Import,Crustaceans,3393,2900,2561,314,128,59,55,216,508,111,79,320,310,201,104,121
Americas,Nicaragua,Import,Fish,3790,3150,3859,3300,3228,4168,4453,4853,5106,5064,5119,7059,9086,10458,11562,16438
Americas,Panama,Export,Crustaceans,79958,106024,97281,89899,92835,87349,69087,64385,45605,46095,37311,38370,42660,75278,80903,68662
Americas,Panama,Export,Fish,163383,205046,225177,308093,342435,334569,296028,284187,340503,314980,150286,72891,61700,68052,85979,87121
Americas,Panama,Import,Crustaceans,512,471,789,877,670,447,296,870,1166,660,701,1094,1569,2917,5523,4479
Americas,Panama,Import,Fish,13305,10333,13441,15443,13579,19545,17520,20521,26770,28054,32087,38485,48040,50029,55818,62101
Americas,Paraguay,Export,Fish,45,70,39,98,206,201,230,170,95,45,19,14,15,14,14,12
Americas,Paraguay,Import,Crustaceans,126,59,52,46,49,35,117,82,245,346,348,829,229,944,671,997
Americas,Paraguay,Import,Fish,1389,1462,909,708,1261,1376,1243,2154,3396,3550,5179,5384,6372,6216,7823,6552
Americas,Peru,Export,Crustaceans,9004,13010,17810,19150,26596,40332,48703,57014,65812,63695,69698,92721,94390,130983,165510,145229
Americas,Peru,Export,Fish,107232,128182,80653,81492,97583,102817,163276,200472,237330,213616,190293,348384,388148,301211,303447,294076
Americas,Peru,Import,Crustaceans,42,387,740,807,1405,1473,1953,2993,3701,2288,2943,4340,4116,7113,10367,21647
Americas,Peru,Import,Fish,15332,20879,23297,23616,24829,44582,24671,30108,56672,73173,148854,123642,131380,193413,162190,204870
Americas,Saint Kitts and Nevis,Export,Crustaceans,245,131,23,41,36,0,239,411,458,465,466,659,300,295,290,290
Americas,Saint Kitts and Nevis,Export,Fish,0,0,0,0,0,0,3,9,24,27,27,30,26,61,49,4
Americas,Saint Kitts and Nevis,Import,Crustaceans,343,143,142,177,448,154,676,687,683,431,473,374,430,605,574,621
Americas,Saint Kitts and Nevis,Import,Fish,2117,1624,1629,1667,2075,784,3343,3152,2923,3270,3291,2809,2076,3197,2561,3058
Americas,Saint Lucia,Export,Crustaceans,0,0,0,30,0,0,0,0,0,0,0,0,0,0,22,0
Americas,Saint Lucia,Export,Fish,0,37,83,0,0,0,1,0,107,0,0,0,31,0,1,0
Americas,Saint Lucia,Import,Crustaceans,786,930,593,993,884,837,778,862,860,983,1319,1107,1392,412,1676,2493
Americas,Saint Lucia,Import,Fish,3777,3012,3491,3844,4513,4935,5182,5653,7198,5201,5099,6051,7937,6345,8123,7784
Americas,Saint Vincent/Grenadines,Export,Crustaceans,334,388,573,294,346,410,158,135,375,355,401,182,193,177,392,359
Americas,Saint Vincent/Grenadines,Export,Fish,623,240,138,215,62,21,80,134,135,50,64,83,82,91,112,104
Americas,Saint Vincent/Grenadines,Import,Crustaceans,54,126,105,86,52,106,152,288,370,181,198,240,291,276,220,306
Americas,Saint Vincent/Grenadines,Import,Fish,1076,1151,1239,1297,1527,1754,1847,1866,2087,1727,1723,1695,1942,1869,1862,1980
Americas,St. Pierre and Miquelon,Export,Crustaceans,77,403,25,44,855,752,867,1079,748,665,834,860,1207,968,383,208
Americas,St. Pierre and Miquelon,Export,Fish,6844,4382,4045,3306,4484,5199,5795,7447,8617,4394,2981,1592,1593,1018,962,705
Americas,St. Pierre and Miquelon,Import,Crustaceans,25,27,20,30,39,21,14,132,23,46,53,60,78,68,50,79
Americas,St. Pierre and Miquelon,Import,Fish,130,112,90,80,57,24,122,89,67,48,96,154,182,162,142,200
Americas,Suriname,Export,Crustaceans,36028,34546,26232,32360,35129,29454,27215,28528,18743,25593,20281,17911,20538,21609,18532,17348
Americas,Suriname,Export,Fish,4829,5153,11310,13608,16846,16271,19044,21330,34540,37617,42245,46860,58638,65050,70441,72637
Americas,Suriname,Import,Crustaceans,3501,378,409,446,22,30,6,26,2,10,14,7,184,464,270,346
Americas,Suriname,Import,Fish,2684,2469,2309,3052,3252,4003,2996,3822,3173,4081,4705,2932,4056,4756,4105,5155
Americas,Trinidad and Tobago,Export,Crustaceans,1281,1520,979,1091,809,730,449,333,260,568,266,428,247,204,249,60
Americas,Trinidad and Tobago,Export,Fish,9327,8945,10430,8867,6068,8205,9938,8914,11835,11501,10153,11221,10597,12433,12789,20689
Americas,Trinidad and Tobago,Import,Crustaceans,142,178,233,230,442,973,1625,2459,3778,3337,3941,5811,8061,9639,10983,8794
Americas,Trinidad and Tobago,Import,Fish,6383,8198,11357,11679,13173,20783,17658,22968,22373,24899,23528,28908,30307,38805,37426,39650
Americas,Turks and Caicos Is.,Export,Crustaceans,1425,1983,1759,1575,2756,2852,3002,2899,1149,1055,954,1028,1059,964,1549,1724
Americas,Turks and Caicos Is.,Export,Fish,0,2,1,24,0,41,19,4,6,0,0,0,0,177,292,0
Americas,Turks and Caicos Is.,Import,Crustaceans,882,1006,954,1108,990,980,1176,1361,1251,1202,872,1163,1081,843,1554,1740
Americas,Turks and Caicos Is.,Import,Fish,978,1019,1052,1114,1157,1299,2138,2468,2559,2512,1790,2251,2430,2870,2881,3133
Americas,United States of America,Export,Crustaceans,592662,520254,572908,622330,531232,608406,597007,663732,690352,658774,760457,960987,916972,963994,1163263,1179063
Americas,United States of America,Export,Fish,2090472,2442560,2334007,2435902,2709887,3127276,3050755,3259080,3189282,2882985,3205657,3988126,3658353,3744719,3683358,3591359
Americas,United States of America,Import,Crustaceans,5542717,5553676,5510043,6044872,6043386,6157991,6698227,6695080,6809294,6041314,6852836,7868512,7250772,8233126,9972540,8759933
Americas,United States of America,Import,Fish,4249670,4179916,4488223,4888097,5185430,5736944,6410353,6839276,7165723,6912643,7617620,8353384,9098438,9382943,9926427,9657909
Americas,Uruguay,Export,Crustaceans,10189,5572,6316,8101,7797,7573,10978,11957,8814,9238,9554,7444,3417,5016,5110,2946
Americas,Uruguay,Export,Fish,86514,82867,84198,90458,113273,117861,123971,139234,183360,158418,167317,219839,180336,134666,146177,108059
Americas,Uruguay,Import,Crustaceans,750,802,251,648,442,1557,1297,2714,2275,1717,1834,2574,2199,3187,3812,3021
Americas,Uruguay,Import,Fish,10166,14178,10835,13899,14907,15170,24465,37588,45123,45976,54973,54807,47511,51210,51593,39345
Americas,"Venezuela, Boliv Rep of",Export,Crustaceans,135453,104652,81428,44712,55501,105125,22552,31091,27174,29719,10867,13795,13188,14287,18513,29688
Americas,"Venezuela, Boliv Rep of",Export,Fish,17446,32925,49413,30098,43259,58931,2450,4312,7314,8095,7173,9698,9933,11924,7810,10021
Americas,"Venezuela, Boliv Rep of",Import,Crustaceans,655,536,1192,598,669,368,574,418,9335,325,1025,555,567,1169,645,203
Americas,"Venezuela, Boliv Rep of",Import,Fish,33791,47304,33749,10343,40227,45479,55628,132332,317547,419768,213338,249812,326839,306763,326650,60243
Asia,Afghanistan,Import,Fish,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Asia,Armenia,Export,Crustaceans,81,15,1665,3079,2752,2705,3992,4152,4720,3403,3785,5984,7510,15703,13523,3355
Asia,Armenia,Export,Fish,14,143,42,92,183,475,567,531,678,124,3898,10189,14977,17897,17906,11603
Asia,Armenia,Import,Crustaceans,10,0,2,9,2,1,3,22,126,173,185,112,248,351,219,278
Asia,Armenia,Import,Fish,661,1307,767,603,597,3001,2310,2695,7362,6894,4761,6436,6061,5457,5812,5084
Asia,Azerbaijan,Export,Fish,2101,798,1148,4083,4638,7252,659,5851,5601,5954,1021,226,0,24,0,23
Asia,Azerbaijan,Import,Crustaceans,3,4,14,7,5,49,29,52,77,48,198,212,240,334,336,199
Asia,Azerbaijan,Import,Fish,1439,1309,1943,2111,2306,4755,2867,5725,11032,16002,11185,11595,12428,15192,12964,10843
Asia,Bahrain,Export,Crustaceans,8014,7213,7867,7217,10914,8958,9091,9050,10828,10688,10585,17149,15794,17211,18897,21451
Asia,Bahrain,Export,Fish,1502,2229,2758,3095,2312,1940,2267,2367,5985,4630,2828,2748,4173,2534,1960,3721
Asia,Bahrain,Import,Crustaceans,895,851,2928,1057,1574,2835,2125,1514,2195,3143,3237,3793,6647,4063,11623,10790
Asia,Bahrain,Import,Fish,3747,5615,6392,5700,5273,7835,6023,7210,14256,10749,12605,16550,22980,21791,24101,25358
Asia,Bangladesh,Export,Crustaceans,311879,333821,275975,303051,345482,551840,401277,569351,461399,321969,441332,502920,412195,464340,540746,396282
Asia,Bangladesh,Export,Fish,30698,22011,25305,21796,24734,79815,46440,57511,96665,72215,96872,135459,82564,68374,57651,49535
Asia,Bangladesh,Import,Crustaceans,300,194,565,166,5186,2802,429,272,768,11623,2654,3769,1719,3822,2975,2498
Asia,Bangladesh,Import,Fish,2875,5875,9210,5291,7990,1118,2048,5086,4203,6453,13705,11316,15301,27647,41404,52878
Asia,Bhutan,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
Asia,Bhutan,Import,Crustaceans,0,0,0,0,0,7,7,11,20,19,23,26,46,25,0,3
Asia,Bhutan,Import,Fish,0,0,0,0,0,1859,1997,3029,2251,2433,3102,3509,4574,5013,5171,4822
Asia,Brunei Darussalam,Export,Crustaceans,132,196,380,531,917,2894,4976,4969,2331,1337,1246,567,585,1558,2056,1482
Asia,Brunei Darussalam,Export,Fish,164,137,52,167,200,159,326,63,143,263,513,1013,1752,2332,1803,1642
Asia,Brunei Darussalam,Import,Crustaceans,2751,3206,2273,2194,3646,2173,6185,3192,3112,3016,3153,2894,8973,11467,10499,8479
Asia,Brunei Darussalam,Import,Fish,9200,8354,8394,7584,10263,12460,17351,13226,13246,13216,18508,23720,27830,31746,28426,26700
Asia,Cambodia,Export,Crustaceans,2009,1916,955,876,10548,7164,1688,579,420,451,1199,2135,1231,868,572,419
Asia,Cambodia,Export,Fish,32102,29941,35024,36519,30922,40641,24963,22595,24118,29894,38539,57808,59728,61609,63328,65475
Asia,Cambodia,Import,Crustaceans,1,9,3,0,108,6737,674,15,21,31,299,179,271,621,2155,997
Asia,Cambodia,Import,Fish,2708,448,550,3000,3036,2780,3443,3037,2365,4201,2667,3180,4314,2692,12500,5681
Asia,China,Export,Crustaceans,596458,720868,901035,1332283,1559312,1624675,1974696,1863190,2033962,2091114,2548852,3259444,3640354,3980309,4179094,3432246
Asia,China,Export,Fish,2353628,2582783,2734797,3001901,3896131,4558666,5509643,5896162,6472323,6410499,8148211,10205801,10683258,11045046,11538511,10991570
Asia,China,Import,Crustaceans,216386,193917,193348,299464,324714,294756,303701,323183,322451,347908,526205,840449,1133958,1437524,1671382,1861078
Asia,China,Import,Fish,816667,948065,1102870,1319372,1700576,2333056,2539572,2777207,2894591,2884290,3358114,4039108,3686876,3806353,4166967,3697215
Asia,"China, Hong Kong SAR",Export,Crustaceans,4053,1502,1047,863,942,314,1182,332,562,867,355,1562,1435,896,462,775
Asia,"China, Hong Kong SAR",Export,Fish,66962,48654,47529,42313,41805,40154,38954,33836,33669,34604,34723,38612,35705,43637,36921,32753
Asia,"China, Hong Kong SAR",Import,Crustaceans,453708,411342,364988,329422,310967,305799,389879,426236,492710,563062,615701,705535,878649,859023,795623,686023
Asia,"China, Hong Kong SAR",Import,Fish,954290,862565,847893,855139,933833,900414,909748,970918,1118051,1095983,1306255,1468789,1521588,1548894,1612277,1702904
Asia,"China, Macao SAR",Export,Crustaceans,2577,2371,2330,1440,262,238,242,244,185,222,0,0,0,0,0,0
Asia,"China, Macao SAR",Export,Fish,31,0,0,0,437,471,576,830,1131,2930,0,0,0,0,0,0
Asia,"China, Macao SAR",Import,Crustaceans,1924,2308,3027,3538,3200,3391,4065,5784,7176,8510,11924,15653,19173,22860,27160,34349
Asia,"China, Macao SAR",Import,Fish,9789,11715,14527,18893,17720,19072,20922,24498,30907,36493,39612,43884,50441,53198,67537,68303
Asia,Cyprus,Export,Crustaceans,307,601,383,108,44,184,12,19,1,0,1,0,0,69,0,194
Asia,Cyprus,Export,Fish,5991,6052,4980,4285,27265,30514,25079,31478,42609,13524,16830,27593,20889,32518,29212,31262
Asia,Cyprus,Import,Crustaceans,3150,4379,2732,3698,4885,5895,7506,9925,11577,10440,11096,13639,12123,11021,14083,11825
Asia,Cyprus,Import,Fish,16909,18491,17915,19491,30196,32726,34998,51461,58547,42922,44139,46417,42416,43892,47981,43008
Asia,Georgia,Export,Crustaceans,0,0,0,0,0,0,0,0,0,1,0,1,22,65,0,1
Asia,Georgia,Export,Fish,108,288,50,298,247,981,903,1947,6024,4525,6639,3291,1806,2435,2668,7830
Asia,Georgia,Import,Crustaceans,6,22,4,8,135,105,159,239,349,233,233,503,515,583,724,576
Asia,Georgia,Import,Fish,1378,1162,1422,2148,6033,11429,26631,33498,41147,30892,34325,41306,43706,46743,42734,39263
Asia,India,Export,Crustaceans,977753,847056,973725,981507,987324,1035137,1075822,998195,939965,913020,1234456,1846390,1842457,2967319,3943727,3360311
Asia,India,Export,Fish,332596,284035,308683,186331,246395,334811,448172,428178,400020,743643,843207,1058800,977156,1019899,999564,888155
Asia,India,Import,Crustaceans,677,1932,3512,4019,3656,6554,5555,7274,8602,6130,4881,9217,9508,7797,11643,14655
Asia,India,Import,Fish,9094,6328,5307,5974,9097,13768,17289,24406,39713,29618,66549,92097,51929,36752,45644,49434
Asia,Indonesia,Export,Crustaceans,1070333,1022419,926912,942139,1021482,1073177,1244876,1200387,1374105,1158413,1260462,1566554,1617689,2023398,2534716,1946471
Asia,Indonesia,Export,Fish,485348,478826,531672,572783,636343,669475,651600,802088,980750,989593,1163940,1407508,1746477,1598281,1506401,1391707
Asia,Indonesia,Import,Crustaceans,11487,11408,10990,11352,57454,8087,6071,9193,16367,16388,25355,55797,65917,69631,66091,52863
Asia,Indonesia,Import,Fish,18928,13951,14213,17240,25577,22791,32789,39084,93803,129506,189814,196907,149809,155923,159961,157836
Asia,Iran (Islamic Rep. of),Export,Crustaceans,6162,3425,17742,33692,34046,4784,13714,0,0,19338,13340,20536,46414,51183,50838,56781
Asia,Iran (Islamic Rep. of),Export,Fish,43793,40041,32789,46782,39635,36725,45792,31621,51831,74272,133262,177843,190975,180968,194793,151777
Asia,Iran (Islamic Rep. of),Import,Crustaceans,0,0,0,0,0,0,0,0,309,116,69,1,0,0,0,0
Asia,Iran (Islamic Rep. of),Import,Fish,5995,3179,7030,26786,13516,16913,10375,13589,18748,34855,82763,67985,59836,96689,166716,146687
Asia,Iraq,Export,Fish,242,193,99,100,75,10,40,70,70,70,90,115,94,96,110,50
Asia,Iraq,Import,Crustaceans,0,0,0,121,66,13,48,110,103,16,30,150,618,1027,1950,2126
Asia,Iraq,Import,Fish,99,25,163,2510,8911,9519,21502,22078,31562,25410,43126,36395,34613,37634,41086,39352
Asia,Israel,Export,Crustaceans,0,0,0,0,1,0,0,0,2,1,2,3,2,1,0,3
Asia,Israel,Export,Fish,7159,7932,7318,10090,12222,12832,13984,17278,20933,21066,21385,21126,21977,21861,21174,16353
