Continente,Localidade,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Côte d'Ivoire,Export,Crustaceans,3309,3193,1439,1080,1031,519,791,527,1042,2588,897,700,110,581,919,258
Africa,Côte d'Ivoire,Export,Fish,124805,103672,138328,138587,157691,101906,123491,170228,195813,166000,101553,76061,114024,109672,93099,142987
Africa,Côte d'Ivoire,Import,Crustaceans,731,1041,1695,1429,2463,1433,1866,2763,3354,3683,3414,2113,2453,3260,2491,1446
Africa,Côte d'Ivoire,Import,Fish,131289,149112,178499,199603,186650,202213,228228,274757,391996,356475,254224,309381,323071,361120,392535,389841
Africa,Djibouti,Export,Crustaceans,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
Africa,Djibouti,Export,Fish,18,73,64,88,3,11,94,4,0,2,28,6,2,4,1,3
Africa,Djibouti,Import,Crustaceans,43,20,15,22,15,158,31,47,269,384,54,63,69,36,215,199
Africa,Djibouti,Import,Fish,1436,882,606,612,1379,1103,2231,1934,2007,2384,1321,2201,2740,4772,2749,5057
Africa,Egypt,Export,Crustaceans,51,9,3,17,14,3,14,116,16,148,205,72,329,1405,2933,2957
Africa,Egypt,Export,Fish,911,794,1393,2181,2770,3222,2677,3664,9210,12307,12524,18134,15599,21997,28895,26686
Africa,Egypt,Import,Crustaceans,227,1244,729,320,2097,5337,10386,23695,45994,69350,70562,75676,118208,65583,84882,85184
Africa,Egypt,Import,Fish,134667,132230,92734,102314,122199,129395,150312,187276,313987,384549,407352,433562,597066,504884,628767,638461
Africa,Equatorial Guinea,Export,Crustaceans,0,0,2,20,75,27,0,0,0,0,0,0,0,0,0,0
Africa,Equatorial Guinea,Export,Fish,1588,596,49,88,94,19,73,80,63,80,26,38,57,46,44,46
Africa,Equatorial Guinea,Import,Crustaceans,2,3,63,130,133,90,266,342,354,323,659,944,887,864,1163,901
Africa,Equatorial Guinea,Import,Fish,2626,5036,4626,8874,12215,11224,15810,17012,15615,25120,18302,21918,30494,28037,25201,17072
Africa,Eritrea,Export,Crustaceans,572,163,380,9,340,0,6,248,110,0,0,0,124,3,0,0
Africa,Eritrea,Export,Fish,1530,686,451,1533,148,45,73,201,248,160,12,7,66,0,0,0
Africa,Eritrea,Import,Crustaceans,0,34,29,3,12,22,15,3,0,15,10,13,0,6,0,7
Africa,Eritrea,Import,Fish,117,204,276,819,368,166,467,228,315,84,229,32,278,131,208,52
Africa,Ethiopia,Export,Fish,13,16,49,51,14,4,296,597,394,263,446,424,476,406,486,524
Africa,Ethiopia,Import,Crustaceans,0,0,0,0,3,5,5,20,90,145,135,184,200,686,288,158
Africa,Ethiopia,Import,Fish,101,39,420,551,274,489,1002,751,1569,898,1088,1395,1898,2739,3464,3386
Africa,Gabon,Export,Crustaceans,11305,8994,8821,9105,16989,21986,13526,12169,4380,432,137,0,491,12,6,0
Africa,Gabon,Export,Fish,1279,731,1675,691,2382,2298,2324,2633,3036,1708,1470,1639,2569,2716,3003,3314
Africa,Gabon,Import,Crustaceans,63,14,28,54,36,66,44,126,209,218,188,198,530,617,955,437
Africa,Gabon,Import,Fish,9670,10429,1611,7386,9724,11062,12919,13391,17056,19064,21381,33020,37421,40412,59053,53318
Africa,Gambia,Export,Crustaceans,1935,696,232,92,73,439,55,416,30,14,55,0,34,36,93,37
Africa,Gambia,Export,Fish,1353,584,737,201,206,463,260,2438,2198,5041,6429,2833,2230,1517,1745,1183
Africa,Gambia,Import,Crustaceans,18,405,12,0,9,11,0,0,13,0,0,8,3,1,117,180
Africa,Gambia,Import,Fish,471,683,433,278,475,344,556,845,787,775,1477,748,429,373,224,389
Africa,Ghana,Export,Crustaceans,935,947,528,1088,276,824,1217,2069,620,89,21,680,19,390,521,164
Africa,Ghana,Export,Fish,76795,82431,75355,119106,92478,95718,49484,57427,43394,53653,54758,55492,61451,59695,59279,70468
Africa,Ghana,Import,Crustaceans,3,4,32,189,105,193,130,333,134,259,60,627,308,217,374,190
Africa,Ghana,Import,Fish,82848,90611,120384,55746,116504,180676,121129,163987,121274,115997,141579,266918,232386,360111,253611,255438
Africa,Guinea,Export,Crustaceans,675,588,365,799,120,22,11,0,0,998,509,455,456,200,49,5
Africa,Guinea,Export,Fish,4103,4040,2469,3600,6767,9960,7004,4583,5482,6049,6933,7039,8256,7822,13263,10585
Africa,Guinea,Import,Crustaceans,2,4,1,0,0,0,0,0,0,6,1,7,19,13,11,2
Africa,Guinea,Import,Fish,291,1164,862,1408,514,613,314,606,917,1591,1901,1995,2520,2458,2161,1982
Africa,Guinea-Bissau,Export,Crustaceans,204,443,553,748,362,480,234,0,0,0,0,0,1,0,0,0
Africa,Guinea-Bissau,Export,Fish,1876,1990,3240,1784,2487,3021,2986,2883,2232,2059,3438,2681,2229,3102,3960,4748
Africa,Guinea-Bissau,Import,Crustaceans,0,0,0,0,0,0,64,79,0,0,0,0,0,3,6,3
Africa,Guinea-Bissau,Import,Fish,283,155,138,229,282,404,321,1373,1684,1456,708,1246,1210,1263,918,774
Africa,Kenya,Export,Crustaceans,1268,2411,1327,3961,2808,2464,2297,1131,1626,295,339,625,285,460,1229,818
Africa,Kenya,Export,Fish,36839,46283,53599,50950,48472,56596,51539,58776,71672,55001,61135,50666,59811,37098,44789,30232
Africa,Kenya,Import,Crustaceans,11,16,103,105,57,30,14,4,0,59,43,168,450,663,732,722
Africa,Kenya,Import,Fish,4096,4851,2194,2596,3819,5891,5979,8313,5790,6325,7530,11258,11398,14427,20885,18718
Africa,Lesotho,Export,Crustaceans,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Africa,Lesotho,Export,Fish,0,1,12,8,9,0,0,0,56,370,685,614,488,722,2017,2660
Africa,Lesotho,Import,Crustaceans,32,15,22,85,6,0,0,0,62,183,466,251,110,34,68,14
Africa,Lesotho,Import,Fish,7752,2176,3634,4035,2594,1979,1957,1975,2525,3742,3384,6255,5919,5469,10628,8898
Africa,Liberia,Export,Crustaceans,0,38,0,140,216,22,46,13,3,0,0,0,39,0,4,0
Africa,Liberia,Export,Fish,49,43,80,38,167,369,593,617,639,996,1199,693,601,541,417,436
Africa,Liberia,Import,Crustaceans,223,13,103,8,34,92,71,160,156,171,91,56,93,105,445,278
Africa,Liberia,Import,Fish,2531,2201,1298,2197,2122,3014,3816,2757,5965,3373,5301,6260,9899,11581,16697,11966
Africa,Libya,Export,Crustaceans,0,0,1,0,0,0,1,0,0,85,12,0,0,0,1,0
Africa,Libya,Export,Fish,11786,7479,10543,10470,11802,14371,7646,8987,7581,5428,6457,3988,8959,9979,14023,16875
Africa,Libya,Import,Crustaceans,39,49,73,93,148,82,39,10,0,351,810,412,519,1330,1651,796
Africa,Libya,Import,Fish,8990,9214,9583,6715,7254,19700,33047,33119,35009,38973,69837,80637,144123,147188,157974,141533
Africa,Madagascar,Export,Crustaceans,13150,91700,117708,39179,29726,102822,109595,133589,118274,84028,66991,103974,66427,76753,98855,66410
